Player,Season,Tm,G,FGM,FGA,FGX,3PM,3PA,3PX,Astd
Miles Plumlee,2014-15,PHO,1,0,1,1,0,0,0,0
T.J. Warren,2014-15,PHO,1,0,1,1,0,1,1,0
Chris Johnson,2014-15,PHI,1,0,1,1,0,1,1,0
Michael Carter-Williams,2014-15,PHI,2,1,2,1,0,0,0,0
Luc Mbah a Moute,2014-15,PHI,1,0,1,1,0,0,0,0
Ish Smith,2014-15,PHI,2,0,2,2,0,0,0,0
Nerlens Noel,2014-15,PHI,3,1,3,2,0,0,0,1
Robert Covington,2014-15,PHI,2,0,2,2,0,2,2,0
Henry Sims,2014-15,PHI,2,1,2,1,0,1,1,1
Tony Wroten,2014-15,PHI,1,1,1,0,0,0,0,0
Tobias Harris,2014-15,ORL,4,2,4,2,0,0,0,1
Nikola Vucevic,2014-15,ORL,1,0,1,1,0,0,0,0
Victor Oladipo,2014-15,ORL,6,1,7,6,0,4,4,0
Evan Fournier,2014-15,ORL,1,0,1,1,0,1,1,0
Serge Ibaka,2014-15,OKC,3,0,3,3,0,2,2,0
Andre Roberson,2014-15,OKC,1,0,1,1,0,1,1,0
Kevin Durant,2014-15,OKC,2,0,3,3,0,1,1,0
Russell Westbrook,2014-15,OKC,8,1,9,8,0,5,5,1
Sebastian Telfair,2014-15,OKC,1,0,1,1,0,0,0,0
Anthony Morrow,2014-15,OKC,1,0,1,1,0,1,1,0
Iman Shumpert,2014-15,NYK,1,0,1,1,0,1,1,0
Andrea Bargnani,2014-15,NYK,1,0,1,1,0,1,1,0
J.R. Smith,2014-15,NYK,2,1,2,1,0,1,1,0
Cleanthony Early,2014-15,NYK,1,0,1,1,0,1,1,0
Tim Hardaway,2014-15,NYK,1,0,1,1,0,0,0,0
Samuel Dalembert,2014-15,NYK,1,0,1,1,0,0,0,0
Langston Galloway,2014-15,NYK,1,1,1,0,1,1,0,0
Carmelo Anthony,2014-15,NYK,4,1,4,3,1,3,2,0
Lou Amundson,2014-15,NYK,1,1,1,0,0,0,0,1
Alexey Shved,2014-15,NYK,1,0,1,1,0,0,0,0
Tyreke Evans,2014-15,NOP,7,1,8,7,0,3,3,0
Anthony Davis,2014-15,NOP,4,3,4,1,1,1,0,1
Ryan Anderson,2014-15,NOP,1,0,1,1,0,1,1,0
Nikola Pekovic,2014-15,MIN,2,0,2,2,0,0,0,0
Troy Daniels,2014-15,MIN,1,0,1,1,0,1,1,0
Andrew Wiggins,2014-15,MIN,1,0,1,1,0,1,1,0
Thaddeus Young,2014-15,MIN,1,0,1,1,0,0,0,0
Kevin Martin,2014-15,MIN,4,1,5,4,1,2,1,1
Chase Budinger,2014-15,MIN,2,1,2,1,1,1,0,1
Ersan Ilyasova,2014-15,MIL,1,0,1,1,0,1,1,0
Zaza Pachulia,2014-15,MIL,1,0,1,1,0,0,0,0
Khris Middleton,2014-15,MIL,5,2,6,4,2,4,2,2
O.J. Mayo,2014-15,MIL,2,1,2,1,1,1,0,1
Jared Dudley,2014-15,MIL,3,0,3,3,0,2,2,0
Giannis Antetokounmpo,2014-15,MIL,1,0,1,1,0,0,0,0
Brandon Knight,2014-15,MIL,6,3,6,3,0,1,1,0
Jerryd Bayless,2014-15,MIL,1,0,1,1,0,0,0,0
Luol Deng,2014-15,MIA,1,0,1,1,0,1,1,0
Henry Walker,2014-15,MIA,3,2,3,1,2,3,1,2
Dwyane Wade,2014-15,MIA,3,0,3,3,0,2,2,0
Norris Cole,2014-15,MIA,1,0,1,1,0,1,1,0
Mario Chalmers,2014-15,MIA,2,0,2,2,0,1,1,0
Chris Bosh,2014-15,MIA,1,0,1,1,0,1,1,0
Mike Conley,2014-15,MEM,5,2,5,3,2,4,2,2
Marc Gasol,2014-15,MEM,4,3,5,2,1,1,0,0
Vince Carter,2014-15,MEM,2,1,2,1,1,1,0,1
Courtney Lee,2014-15,MEM,3,2,3,1,1,2,1,2
Zach Randolph,2014-15,MEM,2,0,2,2,0,0,0,0
Ryan Kelly,2014-15,LAL,1,0,1,1,0,1,1,0
Kobe Bryant,2014-15,LAL,7,1,8,7,0,3,3,0
Jordan Clarkson,2014-15,LAL,1,1,1,0,0,0,0,1
Wayne Ellington,2014-15,LAL,2,0,2,2,0,1,1,0
Jordan Hill,2014-15,LAL,1,0,1,1,0,0,0,0
Nick Young,2014-15,LAL,2,1,2,1,1,2,1,1
Chris Paul,2014-15,LAC,5,1,5,4,0,0,0,0
Blake Griffin,2014-15,LAC,2,1,2,1,1,2,1,0
J.J. Redick,2014-15,LAC,1,0,1,1,0,1,1,0
Jamal Crawford,2014-15,LAC,1,0,1,1,0,1,1,0
Chris Copeland,2014-15,IND,1,0,1,1,0,0,0,0
Paul George,2014-15,IND,1,0,1,1,0,1,1,0
Rodney Stuckey,2014-15,IND,1,0,1,1,0,0,0,0
C.J. Miles,2014-15,IND,3,0,3,3,0,3,3,0
David West,2014-15,IND,3,0,4,4,0,2,2,0
Solomon Hill,2014-15,IND,1,1,1,0,0,0,0,0
C.J. Watson,2014-15,IND,2,0,2,2,0,1,1,0
George Hill,2014-15,IND,4,2,4,2,0,2,2,0
Donald Sloan,2014-15,IND,1,1,1,0,0,0,0,0
Roy Hibbert,2014-15,IND,2,0,2,2,0,1,1,0
Nick Johnson,2014-15,HOU,1,1,1,0,0,0,0,1
Corey Brewer,2014-15,HOU,1,0,1,1,0,1,1,0
James Harden,2014-15,HOU,6,3,6,3,1,1,0,0
Trevor Ariza,2014-15,HOU,1,0,2,2,0,2,2,0
Andre Iguodala,2014-15,GSW,1,0,1,1,0,1,1,0
Harrison Barnes,2014-15,GSW,1,1,1,0,0,0,0,1
Stephen Curry,2014-15,GSW,3,2,3,1,2,3,1,1
Klay Thompson,2014-15,GSW,3,1,3,2,0,0,0,1
Draymond Green,2014-15,GSW,1,1,2,1,0,0,0,0
Brandon Jennings,2014-15,DET,5,1,6,5,0,1,1,0
Josh Smith,2014-15,DET,1,0,1,1,0,1,1,0
Anthony Tolliver,2014-15,DET,1,0,1,1,0,1,1,0
Kentavious Caldwell-Pope,2014-15,DET,3,0,3,3,0,3,3,0
Andre Drummond,2014-15,DET,1,1,1,0,0,0,0,0
Spencer Dinwiddie,2014-15,DET,1,0,2,2,0,2,2,0
Arron Afflalo,2014-15,DEN,1,1,1,0,1,1,0,1
Kenneth Faried,2014-15,DEN,2,1,3,2,0,0,0,1
Will Barton,2014-15,DEN,1,1,1,0,1,1,0,1
Ty Lawson,2014-15,DEN,3,0,4,4,0,1,1,0
Danilo Gallinari,2014-15,DEN,1,0,1,1,0,1,1,0
Jameer Nelson,2014-15,DEN,1,0,1,1,0,0,0,0
Chandler Parsons,2014-15,DAL,2,0,2,2,0,2,2,0
Monta Ellis,2014-15,DAL,5,1,5,4,0,3,3,0
Dirk Nowitzki,2014-15,DAL,1,0,1,1,0,1,1,0
Raymond Felton,2014-15,DAL,1,1,1,0,0,0,0,0
Kevin Love,2014-15,CLE,2,0,2,2,0,1,1,0
Brendan Haywood,2014-15,CLE,1,1,1,0,0,0,0,1
Matthew Dellavedova,2014-15,CLE,2,0,2,2,0,0,0,0
LeBron James,2014-15,CLE,1,0,1,1,0,0,0,0
Kendrick Perkins,2014-15,CLE,1,0,1,1,0,0,0,0
Kyrie Irving,2014-15,CLE,2,2,2,0,2,2,0,1
Kemba Walker,2014-15,CHO,9,4,11,7,1,3,2,0
Marvin Williams,2014-15,CHO,1,0,1,1,0,1,1,0
Mo Williams,2014-15,CHO,1,0,2,2,0,2,2,0
Lance Stephenson,2014-15,CHO,1,1,1,0,1,1,0,1
Brian Roberts,2014-15,CHO,1,0,1,1,0,1,1,0
Al Jefferson,2014-15,CHO,2,0,2,2,0,1,1,0
Gary Neal,2014-15,CHO,2,0,2,2,0,1,1,0
Gerald Henderson,2014-15,CHO,3,2,4,2,0,0,0,0
Aaron Brooks,2014-15,CHI,1,0,1,1,0,1,1,0
E'Twaun Moore,2014-15,CHI,1,1,1,0,1,1,0,1
Derrick Rose,2014-15,CHI,4,2,7,5,1,4,3,1
Pau Gasol,2014-15,CHI,1,1,1,0,0,0,0,0
Kirk Hinrich,2014-15,CHI,1,0,1,1,0,1,1,0
Joe Johnson,2014-15,BRK,5,0,6,6,0,1,1,0
Brook Lopez,2014-15,BRK,3,1,4,3,0,1,1,0
Deron Williams,2014-15,BRK,1,0,1,1,0,0,0,0
Kevin Garnett,2014-15,BRK,2,0,2,2,0,2,2,0
Bojan Bogdanovic,2014-15,BRK,1,0,1,1,0,1,1,0
Jarrett Jack,2014-15,BRK,4,2,4,2,0,1,1,0
Jared Sullinger,2014-15,BOS,2,1,2,1,0,0,0,0
Brandon Bass,2014-15,BOS,1,0,1,1,0,0,0,0
Avery Bradley,2014-15,BOS,2,2,2,0,2,2,0,1
Kelly Olynyk,2014-15,BOS,2,0,2,2,0,2,2,0
Evan Turner,2014-15,BOS,6,3,7,4,2,2,0,1
Jae Crowder,2014-15,BOS,1,1,1,0,0,0,0,1
Tyler Zeller,2014-15,BOS,1,1,1,0,0,0,0,1
Marcus Smart,2014-15,BOS,1,1,1,0,0,0,0,0
Mike Scott,2014-15,ATL,1,1,2,1,1,2,1,1
Paul Millsap,2014-15,ATL,1,0,1,1,0,0,0,0
Pero Antic,2014-15,ATL,2,0,2,2,0,2,2,0
Kyle Korver,2014-15,ATL,1,1,1,0,1,1,0,1
Jeff Teague,2014-15,ATL,1,0,1,1,0,0,0,0
