Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,54,28,0.659,99,33,2019-01-31
E,AT,Boston Celtics,49,33,0.598,99,2,2019-01-31
E,AT,Philadelphia 76ers,49,33,0.598,99,2,2019-01-31
E,AT,Brooklyn Nets,43,39,0.524,94,0,2019-01-31
E,AT,New York Knicks,24,58,0.293,0,0,2019-01-31
E,CE,Milwaukee Bucks,55,27,0.671,100,58,2019-01-31
E,CE,Indiana Pacers,49,33,0.598,99,2,2019-01-31
E,CE,Detroit Pistons,37,45,0.451,27,0,2019-01-31
E,CE,Chicago Bulls,25,57,0.305,0,0,2019-01-31
E,CE,Cleveland Cavaliers,23,59,0.28,0,0,2019-01-31
E,SE,Charlotte Hornets,40,42,0.488,70,0,2019-01-31
E,SE,Miami Heat,40,42,0.488,73,0,2019-01-31
E,SE,Washington Wizards,37,45,0.451,26,0,2019-01-31
E,SE,Orlando Magic,34,48,0.415,7,0,2019-01-31
E,SE,Atlanta Hawks,30,52,0.366,0,0,2019-01-31
W,NW,Denver Nuggets,52,30,0.634,99,29,2019-01-31
W,NW,Oklahoma City Thunder,49,33,0.598,98,5,2019-01-31
W,NW,Portland Trail Blazers,48,34,0.585,96,1,2019-01-31
W,NW,Utah Jazz,45,37,0.549,83,0,2019-01-31
W,NW,Minnesota Timberwolves,40,42,0.488,18,0,2019-01-31
W,PA,Golden State Warriors,54,28,0.659,99,61,2019-01-31
W,PA,Los Angeles Clippers,44,38,0.537,63,0,2019-01-31
W,PA,Los Angeles Lakers,41,41,0.5,27,0,2019-01-31
W,PA,Sacramento Kings,41,41,0.5,27,0,2019-01-31
W,PA,Phoenix Suns,23,59,0.28,0,0,2019-01-31
W,SW,San Antonio Spurs,46,36,0.561,86,0,2019-01-31
W,SW,Houston Rockets,45,37,0.549,81,0,2019-01-31
W,SW,Dallas Mavericks,39,43,0.476,9,0,2019-01-31
W,SW,New Orleans Pelicans,39,43,0.476,6,0,2019-01-31
W,SW,Memphis Grizzlies,34,48,0.415,0,0,2019-01-31
