Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,56,26,0.683,100,8.29,2019-03-16
E,AT,Philadelphia 76ers,51,31,0.622,99.99999999999999,0.02,2019-03-16
E,AT,Boston Celtics,49,33,0.598,100,0,2019-03-16
E,AT,Brooklyn Nets,41,41,0.5,94.64999999999999,0,2019-03-16
E,AT,New York Knicks,19,63,0.232,0,0,2019-03-16
E,CE,Milwaukee Bucks,60,22,0.732,100,91.69,2019-03-16
E,CE,Indiana Pacers,51,31,0.622,100,0,2019-03-16
E,CE,Detroit Pistons,42,40,0.512,94.96000000000001,0,2019-03-16
E,CE,Chicago Bulls,24,58,0.293,0,0,2019-03-16
E,CE,Cleveland Cavaliers,22,60,0.268,0,0,2019-03-16
E,SE,Miami Heat,39,43,0.476,49.129999999999995,0,2019-03-16
E,SE,Charlotte Hornets,38,44,0.463,26.48,0,2019-03-16
E,SE,Orlando Magic,38,44,0.463,31.64,0,2019-03-16
E,SE,Washington Wizards,35,47,0.427,3.14,0,2019-03-16
E,SE,Atlanta Hawks,30,52,0.366,0,0,2019-03-16
W,NW,Denver Nuggets,53,29,0.646,100.00000000000001,29.78,2019-03-16
W,NW,Portland Trail Blazers,50,32,0.61,99.96000000000001,1.57,2019-03-16
W,NW,Oklahoma City Thunder,49,33,0.598,99.97999999999999,0.85,2019-03-16
W,NW,Utah Jazz,47,35,0.573,99.38000000000001,0.03,2019-03-16
W,NW,Minnesota Timberwolves,38,44,0.463,0.11,0,2019-03-16
W,PA,Golden State Warriors,54,28,0.659,100,65.77,2019-03-16
W,PA,Los Angeles Clippers,46,36,0.561,99.42999999999999,0.01,2019-03-16
W,PA,Sacramento Kings,40,42,0.488,1.56,0,2019-03-16
W,PA,Los Angeles Lakers,37,45,0.451,0.04,0,2019-03-16
W,PA,Phoenix Suns,21,61,0.256,0,0,2019-03-16
W,SW,Houston Rockets,50,32,0.61,99.99000000000002,1.96,2019-03-16
W,SW,San Antonio Spurs,47,35,0.573,99.55,0.03,2019-03-16
W,SW,New Orleans Pelicans,36,46,0.439,0,0,2019-03-16
W,SW,Dallas Mavericks,34,48,0.415,0,0,2019-03-16
W,SW,Memphis Grizzlies,34,48,0.415,0,0,2019-03-16
