Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,50,32,0.61,99,37
E,AT,Boston Celtics,45,37,0.549,91,6
E,AT,Philadelphia 76ers,42,40,0.512,76,1
E,AT,Brooklyn Nets,39,43,0.476,43,0
E,AT,New York Knicks,34,48,0.415,9,0
E,CE,Milwaukee Bucks,50,32,0.61,99,42
E,CE,Indiana Pacers,44,38,0.537,88,5
E,CE,Detroit Pistons,41,41,0.5,67,0
E,CE,Chicago Bulls,33,49,0.402,7,0
E,CE,Cleveland Cavaliers,31,51,0.378,2,0
E,SE,Charlotte Hornets,44,38,0.537,88,4
E,SE,Miami Heat,40,42,0.488,58,0
E,SE,Orlando Magic,38,44,0.463,38,0
E,SE,Washington Wizards,36,46,0.439,23,0
E,SE,Atlanta Hawks,32,50,0.39,4,0
W,NW,Portland Trail Blazers,48,34,0.585,93,22
W,NW,Denver Nuggets,46,36,0.561,85,9
W,NW,Oklahoma City Thunder,46,36,0.561,83,9
W,NW,Utah Jazz,40,42,0.488,34,0
W,NW,Minnesota Timberwolves,36,46,0.439,9,0
W,PA,Golden State Warriors,50,32,0.61,97,42
W,PA,Los Angeles Clippers,45,37,0.549,79,6
W,PA,Los Angeles Lakers,43,39,0.524,58,1
W,PA,Sacramento Kings,41,41,0.5,45,0
W,PA,Phoenix Suns,31,51,0.378,0,0
W,SW,Memphis Grizzlies,43,39,0.524,63,2
W,SW,New Orleans Pelicans,42,40,0.512,50,1
W,SW,San Antonio Spurs,41,41,0.5,41,0
W,SW,Dallas Mavericks,40,42,0.488,35,0
W,SW,Houston Rockets,38,44,0.463,19,0
