Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,54,28,0.659,100,21,2019-02-05
E,AT,Boston Celtics,50,32,0.61,100,2,2019-02-05
E,AT,Philadelphia 76ers,49,33,0.598,99,1,2019-02-05
E,AT,Brooklyn Nets,41,41,0.5,87,0,2019-02-05
E,AT,New York Knicks,23,59,0.28,0,0,2019-02-05
E,CE,Milwaukee Bucks,57,25,0.695,100,73,2019-02-05
E,CE,Indiana Pacers,50,32,0.61,100,1,2019-02-05
E,CE,Detroit Pistons,38,44,0.463,38,0,2019-02-05
E,CE,Chicago Bulls,24,58,0.293,0,0,2019-02-05
E,CE,Cleveland Cavaliers,23,59,0.28,0,0,2019-02-05
E,SE,Charlotte Hornets,41,41,0.5,82,0,2019-02-05
E,SE,Miami Heat,39,43,0.476,58,0,2019-02-05
E,SE,Orlando Magic,36,46,0.439,14,0,2019-02-05
E,SE,Washington Wizards,36,46,0.439,17,0,2019-02-05
E,SE,Atlanta Hawks,31,51,0.378,0,0,2019-02-05
W,NW,Denver Nuggets,52,30,0.634,99,33,2019-02-05
W,NW,Oklahoma City Thunder,49,33,0.598,98,5,2019-02-05
W,NW,Portland Trail Blazers,47,35,0.573,95,2,2019-02-05
W,NW,Utah Jazz,45,37,0.549,80,0,2019-02-05
W,NW,Minnesota Timberwolves,40,42,0.488,12,0,2019-02-05
W,PA,Golden State Warriors,54,28,0.659,99,58,2019-02-05
W,PA,Los Angeles Clippers,43,39,0.524,56,0,2019-02-05
W,PA,Sacramento Kings,42,40,0.512,40,0,2019-02-05
W,PA,Los Angeles Lakers,41,41,0.5,25,0,2019-02-05
W,PA,Phoenix Suns,22,60,0.268,0,0,2019-02-05
W,SW,Houston Rockets,46,36,0.561,87,0,2019-02-05
W,SW,San Antonio Spurs,46,36,0.561,89,0,2019-02-05
W,SW,Dallas Mavericks,39,43,0.476,9,0,2019-02-05
W,SW,New Orleans Pelicans,38,44,0.463,2,0,2019-02-05
W,SW,Memphis Grizzlies,34,48,0.415,0,0,2019-02-05
