Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,56,26,0.683,100,13,2019-03-12
E,AT,Philadelphia 76ers,50,32,0.61,100,0,2019-03-12
E,AT,Boston Celtics,49,33,0.598,100,0,2019-03-12
E,AT,Brooklyn Nets,42,40,0.512,96,0,2019-03-12
E,AT,New York Knicks,19,63,0.232,0,0,2019-03-12
E,CE,Milwaukee Bucks,59,23,0.72,100,86,2019-03-12
E,CE,Indiana Pacers,50,32,0.61,100,0,2019-03-12
E,CE,Detroit Pistons,42,40,0.512,94,0,2019-03-12
E,CE,Chicago Bulls,25,57,0.305,0,0,2019-03-12
E,CE,Cleveland Cavaliers,23,59,0.28,0,0,2019-03-12
E,SE,Miami Heat,39,43,0.476,49,0,2019-03-12
E,SE,Orlando Magic,38,44,0.463,33,0,2019-03-12
E,SE,Charlotte Hornets,37,45,0.451,20,0,2019-03-12
E,SE,Washington Wizards,35,47,0.427,4,0,2019-03-12
E,SE,Atlanta Hawks,29,53,0.354,0,0,2019-03-12
W,NW,Denver Nuggets,52,30,0.634,100,25,2019-03-12
W,NW,Oklahoma City Thunder,49,33,0.598,99,1,2019-03-12
W,NW,Portland Trail Blazers,48,34,0.585,99,1,2019-03-12
W,NW,Utah Jazz,46,36,0.561,95,0,2019-03-12
W,NW,Minnesota Timberwolves,39,43,0.476,1,0,2019-03-12
W,PA,Golden State Warriors,54,28,0.659,100,66,2019-03-12
W,PA,Los Angeles Clippers,46,36,0.561,98,0,2019-03-12
W,PA,Sacramento Kings,41,41,0.5,8,0,2019-03-12
W,PA,Los Angeles Lakers,37,45,0.451,0,0,2019-03-12
W,PA,Phoenix Suns,22,60,0.268,0,0,2019-03-12
W,SW,Houston Rockets,50,32,0.61,99,4,2019-03-12
W,SW,San Antonio Spurs,46,36,0.561,96,0,2019-03-12
W,SW,New Orleans Pelicans,37,45,0.451,0,0,2019-03-12
W,SW,Dallas Mavericks,35,47,0.427,0,0,2019-03-12
W,SW,Memphis Grizzlies,35,47,0.427,0,0,2019-03-12
