Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,56,26,0.683,99,30,2019-02-12
E,AT,Philadelphia 76ers,50,32,0.61,99,0,2019-02-12
E,AT,Boston Celtics,49,33,0.598,100,0,2019-02-12
E,AT,Brooklyn Nets,41,41,0.5,82,0,2019-02-12
E,AT,New York Knicks,21,61,0.256,0,0,2019-02-12
E,CE,Milwaukee Bucks,57,25,0.695,100,65,2019-02-12
E,CE,Indiana Pacers,51,31,0.622,100,2,2019-02-12
E,CE,Detroit Pistons,39,43,0.476,59,0,2019-02-12
E,CE,Chicago Bulls,24,58,0.293,0,0,2019-02-12
E,CE,Cleveland Cavaliers,22,60,0.268,0,0,2019-02-12
E,SE,Charlotte Hornets,40,42,0.488,70,0,2019-02-12
E,SE,Miami Heat,38,44,0.463,44,0,2019-02-12
E,SE,Orlando Magic,37,45,0.451,27,0,2019-02-12
E,SE,Washington Wizards,36,46,0.439,15,0,2019-02-12
E,SE,Atlanta Hawks,30,52,0.366,0,0,2019-02-12
W,NW,Denver Nuggets,52,30,0.634,99,16,2019-02-12
W,NW,Oklahoma City Thunder,51,31,0.622,99,9,2019-02-12
W,NW,Portland Trail Blazers,46,36,0.561,92,0,2019-02-12
W,NW,Utah Jazz,46,36,0.561,90,0,2019-02-12
W,NW,Minnesota Timberwolves,39,43,0.476,6,0,2019-02-12
W,PA,Golden State Warriors,55,27,0.671,99,72,2019-02-12
W,PA,Los Angeles Clippers,43,39,0.524,61,0,2019-02-12
W,PA,Sacramento Kings,42,40,0.512,46,0,2019-02-12
W,PA,Los Angeles Lakers,41,41,0.5,21,0,2019-02-12
W,PA,Phoenix Suns,21,61,0.256,0,0,2019-02-12
W,SW,Houston Rockets,46,36,0.561,93,0,2019-02-12
W,SW,San Antonio Spurs,44,38,0.537,76,0,2019-02-12
W,SW,Dallas Mavericks,39,43,0.476,7,0,2019-02-12
W,SW,New Orleans Pelicans,38,44,0.463,3,0,2019-02-12
W,SW,Memphis Grizzlies,35,47,0.427,0,0,2019-02-12
