Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,56,26,0.683,99.99999999999999,2.07,2019-03-25
E,AT,Philadelphia 76ers,52,30,0.634,100.00000000000001,0.02,2019-03-25
E,AT,Boston Celtics,47,35,0.573,100,0,2019-03-25
E,AT,Brooklyn Nets,42,40,0.512,92.29,0,2019-03-25
E,AT,New York Knicks,18,64,0.22,0,0,2019-03-25
E,CE,Milwaukee Bucks,60,22,0.732,99.99999999999999,97.91,2019-03-25
E,CE,Indiana Pacers,49,33,0.598,100,0,2019-03-25
E,CE,Detroit Pistons,41,41,0.5,87.30999999999999,0,2019-03-25
E,CE,Chicago Bulls,24,58,0.293,0,0,2019-03-25
E,CE,Cleveland Cavaliers,22,60,0.268,0,0,2019-03-25
E,SE,Miami Heat,40,42,0.488,67.46,0,2019-03-25
E,SE,Orlando Magic,39,43,0.476,38.17,0,2019-03-25
E,SE,Charlotte Hornets,38,44,0.463,14.77,0,2019-03-25
E,SE,Washington Wizards,34,48,0.415,0,0,2019-03-25
E,SE,Atlanta Hawks,29,53,0.354,0,0,2019-03-25
W,NW,Denver Nuggets,54,28,0.659,100,35.86,2019-03-25
W,NW,Portland Trail Blazers,50,32,0.61,100.00000000000001,0.55,2019-03-25
W,NW,Oklahoma City Thunder,48,34,0.585,99.99,0,2019-03-25
W,NW,Utah Jazz,48,34,0.585,100,0,2019-03-25
W,NW,Minnesota Timberwolves,37,45,0.451,0,0,2019-03-25
W,PA,Golden State Warriors,55,27,0.671,100,62.48,2019-03-25
W,PA,Los Angeles Clippers,48,34,0.585,100,0,2019-03-25
W,PA,Sacramento Kings,40,42,0.488,0.06,0,2019-03-25
W,PA,Los Angeles Lakers,36,46,0.439,0,0,2019-03-25
W,PA,Phoenix Suns,21,61,0.256,0,0,2019-03-25
W,SW,Houston Rockets,51,31,0.622,100,1.11,2019-03-25
W,SW,San Antonio Spurs,47,35,0.573,99.94999999999999,0,2019-03-25
W,SW,New Orleans Pelicans,35,47,0.427,0,0,2019-03-25
W,SW,Dallas Mavericks,33,49,0.402,0,0,2019-03-25
W,SW,Memphis Grizzlies,33,49,0.402,0,0,2019-03-25
