Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,52,30,0.634,99,46,2018-12-21
E,AT,Boston Celtics,47,35,0.573,98,7,2018-12-21
E,AT,Philadelphia 76ers,46,36,0.561,97,4,2018-12-21
E,AT,Brooklyn Nets,39,43,0.476,48,0,2018-12-21
E,AT,New York Knicks,31,51,0.378,1,0,2018-12-21
E,CE,Milwaukee Bucks,51,31,0.622,99,33,2018-12-21
E,CE,Indiana Pacers,47,35,0.573,98,7,2018-12-21
E,CE,Detroit Pistons,41,41,0.5,71,0,2018-12-21
E,CE,Cleveland Cavaliers,29,53,0.354,0,0,2018-12-21
E,CE,Chicago Bulls,28,54,0.341,0,0,2018-12-21
E,SE,Charlotte Hornets,42,40,0.512,77,0,2018-12-21
E,SE,Miami Heat,39,43,0.476,53,0,2018-12-21
E,SE,Orlando Magic,38,44,0.463,38,0,2018-12-21
E,SE,Washington Wizards,35,47,0.427,13,0,2018-12-21
E,SE,Atlanta Hawks,29,53,0.354,0,0,2018-12-21
W,NW,Denver Nuggets,50,32,0.61,98,41,2018-12-21
W,NW,Oklahoma City Thunder,49,33,0.598,95,25,2018-12-21
W,NW,Portland Trail Blazers,44,38,0.537,72,3,2018-12-21
W,NW,Utah Jazz,41,41,0.5,34,0,2018-12-21
W,NW,Minnesota Timberwolves,39,43,0.476,21,0,2018-12-21
W,PA,Golden State Warriors,48,34,0.585,94,19,2018-12-21
W,PA,Los Angeles Clippers,44,38,0.537,67,2,2018-12-21
W,PA,Los Angeles Lakers,44,38,0.537,71,2,2018-12-21
W,PA,Sacramento Kings,41,41,0.5,37,0,2018-12-21
W,PA,Phoenix Suns,29,53,0.354,0,0,2018-12-21
W,SW,San Antonio Spurs,42,40,0.512,51,0,2018-12-21
W,SW,Dallas Mavericks,41,41,0.5,38,0,2018-12-21
W,SW,Houston Rockets,41,41,0.5,43,0,2018-12-21
W,SW,Memphis Grizzlies,41,41,0.5,40,0,2018-12-21
W,SW,New Orleans Pelicans,41,41,0.5,33,0,2018-12-21
