Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,55,27,0.671,99,14,2019-03-06
E,AT,Philadelphia 76ers,51,31,0.622,100,0,2019-03-06
E,AT,Boston Celtics,48,34,0.585,100,0,2019-03-06
E,AT,Brooklyn Nets,41,41,0.5,84,0,2019-03-06
E,AT,New York Knicks,21,61,0.256,0,0,2019-03-06
E,CE,Milwaukee Bucks,59,23,0.72,100,85,2019-03-06
E,CE,Indiana Pacers,51,31,0.622,100,0,2019-03-06
E,CE,Detroit Pistons,41,41,0.5,85,0,2019-03-06
E,CE,Chicago Bulls,25,57,0.305,0,0,2019-03-06
E,CE,Cleveland Cavaliers,23,59,0.28,0,0,2019-03-06
E,SE,Charlotte Hornets,38,44,0.463,41,0,2019-03-06
E,SE,Miami Heat,38,44,0.463,42,0,2019-03-06
E,SE,Orlando Magic,38,44,0.463,39,0,2019-03-06
E,SE,Washington Wizards,35,47,0.427,6,0,2019-03-06
E,SE,Atlanta Hawks,29,53,0.354,0,0,2019-03-06
W,NW,Denver Nuggets,52,30,0.634,100,25,2019-03-06
W,NW,Portland Trail Blazers,49,33,0.598,99,1,2019-03-06
W,NW,Oklahoma City Thunder,48,34,0.585,99,1,2019-03-06
W,NW,Utah Jazz,47,35,0.573,96,0,2019-03-06
W,NW,Minnesota Timberwolves,39,43,0.476,2,0,2019-03-06
W,PA,Golden State Warriors,54,28,0.659,99,69,2019-03-06
W,PA,Los Angeles Clippers,45,37,0.549,92,0,2019-03-06
W,PA,Sacramento Kings,41,41,0.5,19,0,2019-03-06
W,PA,Los Angeles Lakers,39,43,0.476,1,0,2019-03-06
W,PA,Phoenix Suns,21,61,0.256,0,0,2019-03-06
W,SW,Houston Rockets,49,33,0.598,99,1,2019-03-06
W,SW,San Antonio Spurs,45,37,0.549,87,0,2019-03-06
W,SW,New Orleans Pelicans,38,44,0.463,1,0,2019-03-06
W,SW,Dallas Mavericks,36,46,0.439,0,0,2019-03-06
W,SW,Memphis Grizzlies,34,48,0.415,0,0,2019-03-06
