Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,52,30,0.634,99,50,2018-12-16
E,AT,Boston Celtics,48,34,0.585,99,10,2018-12-16
E,AT,Philadelphia 76ers,46,36,0.561,96,2,2018-12-16
E,AT,Brooklyn Nets,37,45,0.451,32,0,2018-12-16
E,AT,New York Knicks,32,50,0.39,3,0,2018-12-16
E,CE,Milwaukee Bucks,50,32,0.61,99,24,2018-12-16
E,CE,Indiana Pacers,48,34,0.585,99,11,2018-12-16
E,CE,Detroit Pistons,41,41,0.5,72,0,2018-12-16
E,CE,Cleveland Cavaliers,30,52,0.366,0,0,2018-12-16
E,CE,Chicago Bulls,29,53,0.354,0,0,2018-12-16
E,SE,Charlotte Hornets,41,41,0.5,76,0,2018-12-16
E,SE,Orlando Magic,39,43,0.476,55,0,2018-12-16
E,SE,Miami Heat,38,44,0.463,43,0,2018-12-16
E,SE,Washington Wizards,36,46,0.439,18,0,2018-12-16
E,SE,Atlanta Hawks,29,53,0.354,0,0,2018-12-16
W,NW,Denver Nuggets,49,33,0.598,96,35,2018-12-16
W,NW,Oklahoma City Thunder,47,35,0.573,91,18,2018-12-16
W,NW,Portland Trail Blazers,43,39,0.524,58,2,2018-12-16
W,NW,Utah Jazz,41,41,0.5,33,0,2018-12-16
W,NW,Minnesota Timberwolves,39,43,0.476,17,0,2018-12-16
W,PA,Golden State Warriors,48,34,0.585,94,23,2018-12-16
W,PA,Los Angeles Lakers,45,37,0.549,81,8,2018-12-16
W,PA,Los Angeles Clippers,44,38,0.537,65,3,2018-12-16
W,PA,Sacramento Kings,42,40,0.512,45,1,2018-12-16
W,PA,Phoenix Suns,27,55,0.329,0,0,2018-12-16
W,SW,Dallas Mavericks,43,39,0.524,55,2,2018-12-16
W,SW,Memphis Grizzlies,42,40,0.512,52,1,2018-12-16
W,SW,New Orleans Pelicans,42,40,0.512,44,1,2018-12-16
W,SW,Houston Rockets,41,41,0.5,34,0,2018-12-16
W,SW,San Antonio Spurs,40,42,0.488,28,0,2018-12-16
