Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,49,33,0.598,98,27
E,AT,Boston Celtics,45,37,0.549,93,7
E,AT,Philadelphia 76ers,43,39,0.524,82,2
E,AT,Brooklyn Nets,40,42,0.488,52,0
E,AT,New York Knicks,33,49,0.402,7,0
E,CE,Milwaukee Bucks,51,31,0.622,99,50
E,CE,Indiana Pacers,45,37,0.549,91,5
E,CE,Detroit Pistons,41,41,0.5,66,0
E,CE,Chicago Bulls,33,49,0.402,5,0
E,CE,Cleveland Cavaliers,31,51,0.378,2,0
E,SE,Charlotte Hornets,44,38,0.537,89,4
E,SE,Miami Heat,39,43,0.476,50,0
E,SE,Orlando Magic,38,44,0.463,38,0
E,SE,Washington Wizards,36,46,0.439,19,0
E,SE,Atlanta Hawks,31,51,0.378,2,0
W,NW,Denver Nuggets,48,34,0.585,92,20
W,NW,Portland Trail Blazers,47,35,0.573,89,16
W,NW,Oklahoma City Thunder,46,36,0.561,83,11
W,NW,Utah Jazz,39,43,0.476,28,0
W,NW,Minnesota Timberwolves,38,44,0.463,14,0
W,PA,Golden State Warriors,49,33,0.598,95,30
W,PA,Los Angeles Clippers,46,36,0.561,81,9
W,PA,Los Angeles Lakers,43,39,0.524,56,2
W,PA,Sacramento Kings,41,41,0.5,36,0
W,PA,Phoenix Suns,31,51,0.378,0,0
W,SW,Memphis Grizzlies,44,38,0.537,67,4
W,SW,New Orleans Pelicans,42,40,0.512,54,2
W,SW,Dallas Mavericks,40,42,0.488,33,0
W,SW,Houston Rockets,40,42,0.488,30,0
W,SW,San Antonio Spurs,40,42,0.488,34,0
