Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,56,26,0.683,100,0.86,2019-03-30
E,AT,Philadelphia 76ers,52,30,0.634,100,0,2019-03-30
E,AT,Boston Celtics,48,34,0.585,100,0,2019-03-30
E,AT,Brooklyn Nets,41,41,0.5,78.03999999999999,0,2019-03-30
E,AT,New York Knicks,17,65,0.207,0,0,2019-03-30
E,CE,Milwaukee Bucks,61,21,0.744,100,99.14,2019-03-30
E,CE,Indiana Pacers,48,34,0.585,100.00000000000001,0,2019-03-30
E,CE,Detroit Pistons,42,40,0.512,90.69,0,2019-03-30
E,CE,Chicago Bulls,24,58,0.293,0,0,2019-03-30
E,CE,Cleveland Cavaliers,21,61,0.256,0,0,2019-03-30
E,SE,Miami Heat,40,42,0.488,65.53,0,2019-03-30
E,SE,Orlando Magic,40,42,0.488,53.769999999999996,0,2019-03-30
E,SE,Charlotte Hornets,38,44,0.463,11.97,0,2019-03-30
E,SE,Washington Wizards,33,49,0.402,0,0,2019-03-30
E,SE,Atlanta Hawks,29,53,0.354,0,0,2019-03-30
W,NW,Denver Nuggets,55,27,0.671,100,43.52,2019-03-30
W,NW,Portland Trail Blazers,52,30,0.634,100,1.47,2019-03-30
W,NW,Utah Jazz,49,33,0.598,100,0,2019-03-30
W,NW,Oklahoma City Thunder,47,35,0.573,99.99,0,2019-03-30
W,NW,Minnesota Timberwolves,37,45,0.451,0,0,2019-03-30
W,PA,Golden State Warriors,55,27,0.671,100,54.85,2019-03-30
W,PA,Los Angeles Clippers,48,34,0.585,100,0,2019-03-30
W,PA,Sacramento Kings,40,42,0.488,0.01,0,2019-03-30
W,PA,Los Angeles Lakers,37,45,0.451,0,0,2019-03-30
W,PA,Phoenix Suns,20,62,0.244,0,0,2019-03-30
W,SW,Houston Rockets,51,31,0.622,100,0.16,2019-03-30
W,SW,San Antonio Spurs,47,35,0.573,100,0,2019-03-30
W,SW,New Orleans Pelicans,35,47,0.427,0,0,2019-03-30
W,SW,Memphis Grizzlies,33,49,0.402,0,0,2019-03-30
W,SW,Dallas Mavericks,32,50,0.39,0,0,2019-03-30
