Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,52,30,0.634,99,40,2018-12-26
E,AT,Boston Celtics,47,35,0.573,98,7,2018-12-26
E,AT,Philadelphia 76ers,47,35,0.573,98,4,2018-12-26
E,AT,Brooklyn Nets,39,43,0.476,49,0,2018-12-26
E,AT,New York Knicks,30,52,0.366,0,0,2018-12-26
E,CE,Milwaukee Bucks,51,31,0.622,99,35,2018-12-26
E,CE,Indiana Pacers,49,33,0.598,99,12,2018-12-26
E,CE,Detroit Pistons,40,42,0.488,59,0,2018-12-26
E,CE,Chicago Bulls,29,53,0.354,0,0,2018-12-26
E,CE,Cleveland Cavaliers,28,54,0.341,0,0,2018-12-26
E,SE,Charlotte Hornets,42,40,0.512,78,0,2018-12-26
E,SE,Miami Heat,41,41,0.5,73,0,2018-12-26
E,SE,Orlando Magic,37,45,0.451,25,0,2018-12-26
E,SE,Washington Wizards,35,47,0.427,14,0,2018-12-26
E,SE,Atlanta Hawks,30,52,0.366,0,0,2018-12-26
W,NW,Denver Nuggets,49,33,0.598,97,36,2018-12-26
W,NW,Oklahoma City Thunder,48,34,0.585,93,21,2018-12-26
W,NW,Portland Trail Blazers,43,39,0.524,56,1,2018-12-26
W,NW,Utah Jazz,42,40,0.512,45,1,2018-12-26
W,NW,Minnesota Timberwolves,39,43,0.476,18,0,2018-12-26
W,PA,Golden State Warriors,48,34,0.585,94,23,2018-12-26
W,PA,Los Angeles Lakers,45,37,0.549,77,5,2018-12-26
W,PA,Los Angeles Clippers,44,38,0.537,70,3,2018-12-26
W,PA,Sacramento Kings,42,40,0.512,47,1,2018-12-26
W,PA,Phoenix Suns,29,53,0.354,0,0,2018-12-26
W,SW,Houston Rockets,43,39,0.524,55,1,2018-12-26
W,SW,San Antonio Spurs,42,40,0.512,53,1,2018-12-26
W,SW,Memphis Grizzlies,41,41,0.5,41,0,2018-12-26
W,SW,Dallas Mavericks,40,42,0.488,26,0,2018-12-26
W,SW,New Orleans Pelicans,39,43,0.476,21,0,2018-12-26
