Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,51,31,0.622,99,30
E,AT,Boston Celtics,43,39,0.524,76,1
E,AT,Brooklyn Nets,40,42,0.488,44,0
E,AT,Philadelphia 76ers,39,43,0.476,33,0
E,AT,New York Knicks,34,48,0.415,6,0
E,CE,Milwaukee Bucks,52,30,0.634,99,43
E,CE,Indiana Pacers,48,34,0.585,95,11
E,CE,Detroit Pistons,45,37,0.549,86,3
E,CE,Chicago Bulls,33,49,0.402,4,0
E,CE,Cleveland Cavaliers,30,52,0.366,1,0
E,SE,Charlotte Hornets,46,36,0.561,89,5
E,SE,Miami Heat,45,37,0.549,85,3
E,SE,Atlanta Hawks,40,42,0.488,50,0
E,SE,Washington Wizards,36,46,0.439,16,0
E,SE,Orlando Magic,35,47,0.427,9,0
W,NW,Denver Nuggets,49,33,0.598,98,18
W,NW,Portland Trail Blazers,47,35,0.573,96,11
W,NW,Utah Jazz,43,39,0.524,77,1
W,NW,Minnesota Timberwolves,37,45,0.451,24,0
W,NW,Oklahoma City Thunder,32,50,0.39,4,0
W,PA,Golden State Warriors,51,31,0.622,99,32
W,PA,Los Angeles Clippers,45,37,0.549,89,4
W,PA,Los Angeles Lakers,41,41,0.5,64,0
W,PA,Sacramento Kings,39,43,0.476,42,0
W,PA,Phoenix Suns,33,49,0.402,5,0
W,SW,New Orleans Pelicans,50,32,0.61,99,30
W,SW,Memphis Grizzlies,39,43,0.476,43,0
W,SW,Dallas Mavericks,37,45,0.451,24,0
W,SW,San Antonio Spurs,36,46,0.439,21,0
W,SW,Houston Rockets,34,48,0.415,8,0
