Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,56,26,0.683,100,9.91,2019-03-20
E,AT,Philadelphia 76ers,51,31,0.622,100,0.01,2019-03-20
E,AT,Boston Celtics,49,33,0.598,100.00000000000001,0,2019-03-20
E,AT,Brooklyn Nets,41,41,0.5,85.65,0,2019-03-20
E,AT,New York Knicks,19,63,0.232,0,0,2019-03-20
E,CE,Milwaukee Bucks,59,23,0.72,100,90.08,2019-03-20
E,CE,Indiana Pacers,50,32,0.61,100,0,2019-03-20
E,CE,Detroit Pistons,42,40,0.512,94.75999999999999,0,2019-03-20
E,CE,Chicago Bulls,24,58,0.293,0,0,2019-03-20
E,CE,Cleveland Cavaliers,22,60,0.268,0,0,2019-03-20
E,SE,Miami Heat,40,42,0.488,69.09,0,2019-03-20
E,SE,Orlando Magic,38,44,0.463,34.13,0,2019-03-20
E,SE,Charlotte Hornets,37,45,0.451,14.72,0,2019-03-20
E,SE,Washington Wizards,35,47,0.427,1.6500000000000001,0,2019-03-20
E,SE,Atlanta Hawks,29,53,0.354,0,0,2019-03-20
W,NW,Denver Nuggets,54,28,0.659,100,41.19,2019-03-20
W,NW,Portland Trail Blazers,50,32,0.61,100,0.72,2019-03-20
W,NW,Oklahoma City Thunder,48,34,0.585,99.89,0.03,2019-03-20
W,NW,Utah Jazz,48,34,0.585,99.75,0.01,2019-03-20
W,NW,Minnesota Timberwolves,38,44,0.463,0,0,2019-03-20
W,PA,Golden State Warriors,54,28,0.659,100,56.32,2019-03-20
W,PA,Los Angeles Clippers,47,35,0.573,99.51,0,2019-03-20
W,PA,Sacramento Kings,40,42,0.488,0.96,0,2019-03-20
W,PA,Los Angeles Lakers,37,45,0.451,0.02,0,2019-03-20
W,PA,Phoenix Suns,21,61,0.256,0,0,2019-03-20
W,SW,Houston Rockets,50,32,0.61,100,1.69,2019-03-20
W,SW,San Antonio Spurs,48,34,0.585,99.86999999999999,0.04,2019-03-20
W,SW,New Orleans Pelicans,36,46,0.439,0,0,2019-03-20
W,SW,Dallas Mavericks,34,48,0.415,0,0,2019-03-20
W,SW,Memphis Grizzlies,34,48,0.415,0,0,2019-03-20
