Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,51,31,0.622,99,27
E,AT,Boston Celtics,46,36,0.561,95,4
E,AT,Philadelphia 76ers,41,41,0.5,68,0
E,AT,Brooklyn Nets,39,43,0.476,51,0
E,AT,New York Knicks,37,45,0.451,29,0
E,CE,Milwaukee Bucks,53,29,0.646,99,53
E,CE,Indiana Pacers,48,34,0.585,97,8
E,CE,Detroit Pistons,39,43,0.476,53,0
E,CE,Chicago Bulls,33,49,0.402,8,0
E,CE,Cleveland Cavaliers,30,52,0.366,2,0
E,SE,Charlotte Hornets,46,36,0.561,95,4
E,SE,Miami Heat,41,41,0.5,65,0
E,SE,Atlanta Hawks,34,48,0.415,10,0
E,SE,Orlando Magic,34,48,0.415,10,0
E,SE,Washington Wizards,33,49,0.402,10,0
W,NW,Denver Nuggets,50,32,0.61,98,27
W,NW,Portland Trail Blazers,48,34,0.585,95,13
W,NW,Oklahoma City Thunder,42,40,0.512,60,0
W,NW,Utah Jazz,42,40,0.512,55,0
W,NW,Minnesota Timberwolves,36,46,0.439,8,0
W,PA,Golden State Warriors,52,30,0.634,99,46
W,PA,Los Angeles Clippers,45,37,0.549,83,4
W,PA,Sacramento Kings,42,40,0.512,58,0
W,PA,Los Angeles Lakers,39,43,0.476,34,0
W,PA,Phoenix Suns,31,51,0.378,1,0
W,SW,Memphis Grizzlies,45,37,0.549,80,3
W,SW,San Antonio Spurs,43,39,0.524,71,1
W,SW,New Orleans Pelicans,40,42,0.488,37,0
W,SW,Houston Rockets,36,46,0.439,10,0
W,SW,Dallas Mavericks,34,48,0.415,4,0
