Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,54,28,0.659,99,25,2019-02-06
E,AT,Boston Celtics,50,32,0.61,100,2,2019-02-06
E,AT,Philadelphia 76ers,49,33,0.598,99,0,2019-02-06
E,AT,Brooklyn Nets,41,41,0.5,85,0,2019-02-06
E,AT,New York Knicks,23,59,0.28,0,0,2019-02-06
E,CE,Milwaukee Bucks,57,25,0.695,100,69,2019-02-06
E,CE,Indiana Pacers,50,32,0.61,100,1,2019-02-06
E,CE,Detroit Pistons,38,44,0.463,44,0,2019-02-06
E,CE,Chicago Bulls,24,58,0.293,0,0,2019-02-06
E,CE,Cleveland Cavaliers,23,59,0.28,0,0,2019-02-06
E,SE,Charlotte Hornets,40,42,0.488,76,0,2019-02-06
E,SE,Miami Heat,40,42,0.488,66,0,2019-02-06
E,SE,Washington Wizards,36,46,0.439,16,0,2019-02-06
E,SE,Orlando Magic,35,47,0.427,10,0,2019-02-06
E,SE,Atlanta Hawks,31,51,0.378,0,0,2019-02-06
W,NW,Denver Nuggets,52,30,0.634,99,33,2019-02-06
W,NW,Oklahoma City Thunder,49,33,0.598,99,6,2019-02-06
W,NW,Portland Trail Blazers,47,35,0.573,93,1,2019-02-06
W,NW,Utah Jazz,45,37,0.549,81,0,2019-02-06
W,NW,Minnesota Timberwolves,39,43,0.476,9,0,2019-02-06
W,PA,Golden State Warriors,54,28,0.659,100,57,2019-02-06
W,PA,Los Angeles Clippers,44,38,0.537,66,0,2019-02-06
W,PA,Sacramento Kings,42,40,0.512,40,0,2019-02-06
W,PA,Los Angeles Lakers,40,42,0.488,19,0,2019-02-06
W,PA,Phoenix Suns,22,60,0.268,0,0,2019-02-06
W,SW,Houston Rockets,46,36,0.561,87,0,2019-02-06
W,SW,San Antonio Spurs,46,36,0.561,89,0,2019-02-06
W,SW,Dallas Mavericks,39,43,0.476,8,0,2019-02-06
W,SW,New Orleans Pelicans,38,44,0.463,3,0,2019-02-06
W,SW,Memphis Grizzlies,35,47,0.427,0,0,2019-02-06
