Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,57,25,0.695,100,19,2019-03-03
E,AT,Philadelphia 76ers,50,32,0.61,100,0,2019-03-03
E,AT,Boston Celtics,48,34,0.585,99,0,2019-03-03
E,AT,Brooklyn Nets,40,42,0.488,75,0,2019-03-03
E,AT,New York Knicks,22,60,0.268,0,0,2019-03-03
E,CE,Milwaukee Bucks,59,23,0.72,100,80,2019-03-03
E,CE,Indiana Pacers,50,32,0.61,99,0,2019-03-03
E,CE,Detroit Pistons,40,42,0.488,77,0,2019-03-03
E,CE,Chicago Bulls,26,56,0.317,0,0,2019-03-03
E,CE,Cleveland Cavaliers,23,59,0.28,0,0,2019-03-03
E,SE,Charlotte Hornets,39,43,0.476,49,0,2019-03-03
E,SE,Orlando Magic,39,43,0.476,58,0,2019-03-03
E,SE,Miami Heat,38,44,0.463,34,0,2019-03-03
E,SE,Washington Wizards,35,47,0.427,4,0,2019-03-03
E,SE,Atlanta Hawks,29,53,0.354,0,0,2019-03-03
W,NW,Denver Nuggets,52,30,0.634,100,25,2019-03-03
W,NW,Portland Trail Blazers,49,33,0.598,99,1,2019-03-03
W,NW,Oklahoma City Thunder,48,34,0.585,99,1,2019-03-03
W,NW,Utah Jazz,47,35,0.573,98,0,2019-03-03
W,NW,Minnesota Timberwolves,39,43,0.476,4,0,2019-03-03
W,PA,Golden State Warriors,55,27,0.671,99,71,2019-03-03
W,PA,Los Angeles Clippers,44,38,0.537,85,0,2019-03-03
W,PA,Sacramento Kings,41,41,0.5,20,0,2019-03-03
W,PA,Los Angeles Lakers,39,43,0.476,6,0,2019-03-03
W,PA,Phoenix Suns,21,61,0.256,0,0,2019-03-03
W,SW,Houston Rockets,47,35,0.573,98,0,2019-03-03
W,SW,San Antonio Spurs,44,38,0.537,84,0,2019-03-03
W,SW,New Orleans Pelicans,38,44,0.463,1,0,2019-03-03
W,SW,Dallas Mavericks,37,45,0.451,0,0,2019-03-03
W,SW,Memphis Grizzlies,33,49,0.402,0,0,2019-03-03
