Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,52,30,0.634,99,47
E,AT,Boston Celtics,44,38,0.537,87,2
E,AT,Philadelphia 76ers,44,38,0.537,87,1
E,AT,Brooklyn Nets,38,44,0.463,43,0
E,AT,New York Knicks,34,48,0.415,11,0
E,CE,Milwaukee Bucks,51,31,0.622,99,41
E,CE,Indiana Pacers,44,38,0.537,91,3
E,CE,Detroit Pistons,42,40,0.512,78,1
E,CE,Chicago Bulls,32,50,0.39,3,0
E,CE,Cleveland Cavaliers,31,51,0.378,3,0
E,SE,Charlotte Hornets,44,38,0.537,89,2
E,SE,Orlando Magic,39,43,0.476,46,0
E,SE,Miami Heat,38,44,0.463,39,0
E,SE,Washington Wizards,35,47,0.427,16,0
E,SE,Atlanta Hawks,29,53,0.354,0,0
W,NW,Denver Nuggets,47,35,0.573,89,18
W,NW,Oklahoma City Thunder,47,35,0.573,89,21
W,NW,Portland Trail Blazers,45,37,0.549,74,7
W,NW,Utah Jazz,38,44,0.463,14,0
W,NW,Minnesota Timberwolves,37,45,0.451,12,0
W,PA,Golden State Warriors,47,35,0.573,87,16
W,PA,Los Angeles Clippers,46,36,0.561,84,14
W,PA,Los Angeles Lakers,44,38,0.537,65,5
W,PA,Sacramento Kings,41,41,0.5,40,1
W,PA,Phoenix Suns,31,51,0.378,0,0
W,SW,Memphis Grizzlies,45,37,0.549,78,9
W,SW,New Orleans Pelicans,43,39,0.524,54,2
W,SW,Dallas Mavericks,41,41,0.5,34,0
W,SW,Houston Rockets,41,41,0.5,38,1
W,SW,San Antonio Spurs,41,41,0.5,35,1
