Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,53,29,0.646,100,24,2019-02-01
E,AT,Philadelphia 76ers,50,32,0.61,100,4,2019-02-01
E,AT,Boston Celtics,49,33,0.598,99,2,2019-02-01
E,AT,Brooklyn Nets,42,40,0.512,91,0,2019-02-01
E,AT,New York Knicks,24,58,0.293,0,0,2019-02-01
E,CE,Milwaukee Bucks,56,26,0.683,100,67,2019-02-01
E,CE,Indiana Pacers,49,33,0.598,99,1,2019-02-01
E,CE,Detroit Pistons,37,45,0.451,31,0,2019-02-01
E,CE,Chicago Bulls,25,57,0.305,0,0,2019-02-01
E,CE,Cleveland Cavaliers,23,59,0.28,0,0,2019-02-01
E,SE,Charlotte Hornets,40,42,0.488,68,0,2019-02-01
E,SE,Miami Heat,40,42,0.488,71,0,2019-02-01
E,SE,Washington Wizards,37,45,0.451,26,0,2019-02-01
E,SE,Orlando Magic,35,47,0.427,9,0,2019-02-01
E,SE,Atlanta Hawks,30,52,0.366,0,0,2019-02-01
W,NW,Denver Nuggets,52,30,0.634,99,35,2019-02-01
W,NW,Oklahoma City Thunder,49,33,0.598,98,6,2019-02-01
W,NW,Portland Trail Blazers,47,35,0.573,95,2,2019-02-01
W,NW,Utah Jazz,45,37,0.549,84,0,2019-02-01
W,NW,Minnesota Timberwolves,40,42,0.488,19,0,2019-02-01
W,PA,Golden State Warriors,53,29,0.646,99,54,2019-02-01
W,PA,Los Angeles Clippers,43,39,0.524,56,0,2019-02-01
W,PA,Los Angeles Lakers,41,41,0.5,33,0,2019-02-01
W,PA,Sacramento Kings,41,41,0.5,26,0,2019-02-01
W,PA,Phoenix Suns,23,59,0.28,0,0,2019-02-01
W,SW,San Antonio Spurs,46,36,0.561,89,0,2019-02-01
W,SW,Houston Rockets,45,37,0.549,81,0,2019-02-01
W,SW,Dallas Mavericks,39,43,0.476,7,0,2019-02-01
W,SW,New Orleans Pelicans,39,43,0.476,7,0,2019-02-01
W,SW,Memphis Grizzlies,34,48,0.415,0,0,2019-02-01
