Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,57,25,0.695,100,1.29,2019-03-31
E,AT,Philadelphia 76ers,52,30,0.634,100,0,2019-03-31
E,AT,Boston Celtics,48,34,0.585,100,0,2019-03-31
E,AT,Brooklyn Nets,41,41,0.5,80.12,0,2019-03-31
E,AT,New York Knicks,17,65,0.207,0,0,2019-03-31
E,CE,Milwaukee Bucks,61,21,0.744,100,98.71,2019-03-31
E,CE,Indiana Pacers,48,34,0.585,100,0,2019-03-31
E,CE,Detroit Pistons,42,40,0.512,91.58,0,2019-03-31
E,CE,Chicago Bulls,23,59,0.28,0,0,2019-03-31
E,CE,Cleveland Cavaliers,21,61,0.256,0,0,2019-03-31
E,SE,Miami Heat,41,41,0.5,64.99000000000001,0,2019-03-31
E,SE,Orlando Magic,41,41,0.5,56.870000000000005,0,2019-03-31
E,SE,Charlotte Hornets,38,44,0.463,6.4399999999999995,0,2019-03-31
E,SE,Washington Wizards,33,49,0.402,0,0,2019-03-31
E,SE,Atlanta Hawks,29,53,0.354,0,0,2019-03-31
W,NW,Denver Nuggets,55,27,0.671,99.99999999999999,43.33,2019-03-31
W,NW,Portland Trail Blazers,51,31,0.622,99.99999999999999,0.43,2019-03-31
W,NW,Utah Jazz,49,33,0.598,99.99999999999999,0,2019-03-31
W,NW,Oklahoma City Thunder,47,35,0.573,100,0,2019-03-31
W,NW,Minnesota Timberwolves,37,45,0.451,0,0,2019-03-31
W,PA,Golden State Warriors,55,27,0.671,99.99999999999999,55.73,2019-03-31
W,PA,Los Angeles Clippers,49,33,0.598,100,0,2019-03-31
W,PA,Sacramento Kings,40,42,0.488,0,0,2019-03-31
W,PA,Los Angeles Lakers,37,45,0.451,0,0,2019-03-31
W,PA,Phoenix Suns,19,63,0.232,0,0,2019-03-31
W,SW,Houston Rockets,52,30,0.634,99.99999999999999,0.51,2019-03-31
W,SW,San Antonio Spurs,47,35,0.573,100,0,2019-03-31
W,SW,New Orleans Pelicans,35,47,0.427,0,0,2019-03-31
W,SW,Memphis Grizzlies,34,48,0.415,0,0,2019-03-31
W,SW,Dallas Mavericks,33,49,0.402,0,0,2019-03-31
