Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,52,30,0.634,99,57,2018-12-08
E,AT,Boston Celtics,46,36,0.561,96,5,2018-12-08
E,AT,Philadelphia 76ers,46,36,0.561,97,6,2018-12-08
E,AT,Brooklyn Nets,35,47,0.427,16,0,2018-12-08
E,AT,New York Knicks,33,49,0.402,6,0,2018-12-08
E,CE,Milwaukee Bucks,50,32,0.61,99,24,2018-12-08
E,CE,Indiana Pacers,46,36,0.561,96,4,2018-12-08
E,CE,Detroit Pistons,42,40,0.512,79,0,2018-12-08
E,CE,Chicago Bulls,30,52,0.366,1,0,2018-12-08
E,CE,Cleveland Cavaliers,29,53,0.354,0,0,2018-12-08
E,SE,Charlotte Hornets,42,40,0.512,80,0,2018-12-08
E,SE,Orlando Magic,39,43,0.476,49,0,2018-12-08
E,SE,Miami Heat,38,44,0.463,38,0,2018-12-08
E,SE,Washington Wizards,38,44,0.463,36,0,2018-12-08
E,SE,Atlanta Hawks,29,53,0.354,0,0,2018-12-08
W,NW,Denver Nuggets,49,33,0.598,95,29,2018-12-08
W,NW,Oklahoma City Thunder,48,34,0.585,92,20,2018-12-08
W,NW,Portland Trail Blazers,43,39,0.524,58,2,2018-12-08
W,NW,Utah Jazz,42,40,0.512,41,0,2018-12-08
W,NW,Minnesota Timberwolves,41,41,0.5,39,0,2018-12-08
W,PA,Golden State Warriors,48,34,0.585,92,20,2018-12-08
W,PA,Los Angeles Clippers,47,35,0.573,89,14,2018-12-08
W,PA,Los Angeles Lakers,44,38,0.537,65,2,2018-12-08
W,PA,Sacramento Kings,41,41,0.5,39,0,2018-12-08
W,PA,Phoenix Suns,27,55,0.329,0,0,2018-12-08
W,SW,Memphis Grizzlies,45,37,0.549,74,5,2018-12-08
W,SW,Dallas Mavericks,42,40,0.512,42,0,2018-12-08
W,SW,New Orleans Pelicans,41,41,0.5,38,0,2018-12-08
W,SW,Houston Rockets,39,43,0.476,19,0,2018-12-08
W,SW,San Antonio Spurs,38,44,0.463,12,0,2018-12-08
