Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,54,28,0.659,100,34,2019-01-25
E,AT,Boston Celtics,49,33,0.598,99,1,2019-01-25
E,AT,Philadelphia 76ers,49,33,0.598,99,3,2019-01-25
E,AT,Brooklyn Nets,42,40,0.512,89,0,2019-01-25
E,AT,New York Knicks,26,56,0.317,0,0,2019-01-25
E,CE,Milwaukee Bucks,55,27,0.671,99,51,2019-01-25
E,CE,Indiana Pacers,51,31,0.622,99,9,2019-01-25
E,CE,Detroit Pistons,38,44,0.463,35,0,2019-01-25
E,CE,Chicago Bulls,25,57,0.305,0,0,2019-01-25
E,CE,Cleveland Cavaliers,23,59,0.28,0,0,2019-01-25
E,SE,Charlotte Hornets,41,41,0.5,73,0,2019-01-25
E,SE,Miami Heat,40,42,0.488,63,0,2019-01-25
E,SE,Washington Wizards,37,45,0.451,22,0,2019-01-25
E,SE,Orlando Magic,36,46,0.439,15,0,2019-01-25
E,SE,Atlanta Hawks,30,52,0.366,0,0,2019-01-25
W,NW,Denver Nuggets,50,32,0.61,99,23,2019-01-25
W,NW,Oklahoma City Thunder,48,34,0.585,97,7,2019-01-25
W,NW,Portland Trail Blazers,47,35,0.573,92,2,2019-01-25
W,NW,Utah Jazz,45,37,0.549,81,0,2019-01-25
W,NW,Minnesota Timberwolves,41,41,0.5,31,0,2019-01-25
W,PA,Golden State Warriors,53,29,0.646,99,64,2019-01-25
W,PA,Los Angeles Clippers,43,39,0.524,62,0,2019-01-25
W,PA,Los Angeles Lakers,41,41,0.5,32,0,2019-01-25
W,PA,Sacramento Kings,40,42,0.488,25,0,2019-01-25
W,PA,Phoenix Suns,25,57,0.305,0,0,2019-01-25
W,SW,Houston Rockets,45,37,0.549,79,0,2019-01-25
W,SW,San Antonio Spurs,44,38,0.537,74,0,2019-01-25
W,SW,Dallas Mavericks,39,43,0.476,9,0,2019-01-25
W,SW,New Orleans Pelicans,39,43,0.476,13,0,2019-01-25
W,SW,Memphis Grizzlies,35,47,0.427,0,0,2019-01-25
