Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,54,28,0.659,100,40,2019-01-23
E,AT,Philadelphia 76ers,49,33,0.598,99,2,2019-01-23
E,AT,Boston Celtics,48,34,0.585,99,1,2019-01-23
E,AT,Brooklyn Nets,42,40,0.512,85,0,2019-01-23
E,AT,New York Knicks,26,56,0.317,0,0,2019-01-23
E,CE,Milwaukee Bucks,55,27,0.671,99,49,2019-01-23
E,CE,Indiana Pacers,51,31,0.622,99,7,2019-01-23
E,CE,Detroit Pistons,37,45,0.451,28,0,2019-01-23
E,CE,Chicago Bulls,26,56,0.317,0,0,2019-01-23
E,CE,Cleveland Cavaliers,23,59,0.28,0,0,2019-01-23
E,SE,Charlotte Hornets,40,42,0.488,65,0,2019-01-23
E,SE,Miami Heat,40,42,0.488,72,0,2019-01-23
E,SE,Washington Wizards,37,45,0.451,28,0,2019-01-23
E,SE,Orlando Magic,36,46,0.439,19,0,2019-01-23
E,SE,Atlanta Hawks,30,52,0.366,0,0,2019-01-23
W,NW,Denver Nuggets,51,31,0.622,99,30,2019-01-23
W,NW,Oklahoma City Thunder,48,34,0.585,95,6,2019-01-23
W,NW,Portland Trail Blazers,46,36,0.561,89,2,2019-01-23
W,NW,Utah Jazz,44,38,0.537,77,0,2019-01-23
W,NW,Minnesota Timberwolves,40,42,0.488,23,0,2019-01-23
W,PA,Golden State Warriors,52,30,0.634,99,58,2019-01-23
W,PA,Los Angeles Clippers,43,39,0.524,54,0,2019-01-23
W,PA,Los Angeles Lakers,42,40,0.512,42,0,2019-01-23
W,PA,Sacramento Kings,40,42,0.488,25,0,2019-01-23
W,PA,Phoenix Suns,25,57,0.305,0,0,2019-01-23
W,SW,San Antonio Spurs,45,37,0.549,80,1,2019-01-23
W,SW,Houston Rockets,44,38,0.537,76,0,2019-01-23
W,SW,New Orleans Pelicans,40,42,0.488,23,0,2019-01-23
W,SW,Dallas Mavericks,39,43,0.476,10,0,2019-01-23
W,SW,Memphis Grizzlies,36,46,0.439,1,0,2019-01-23
