Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,52,30,0.634,99,48,2018-12-15
E,AT,Boston Celtics,49,33,0.598,99,13,2018-12-15
E,AT,Philadelphia 76ers,46,36,0.561,97,3,2018-12-15
E,AT,Brooklyn Nets,37,45,0.451,33,0,2018-12-15
E,AT,New York Knicks,32,50,0.39,4,0,2018-12-15
E,CE,Milwaukee Bucks,50,32,0.61,99,23,2018-12-15
E,CE,Indiana Pacers,48,34,0.585,99,11,2018-12-15
E,CE,Detroit Pistons,40,42,0.488,66,0,2018-12-15
E,CE,Cleveland Cavaliers,30,52,0.366,0,0,2018-12-15
E,CE,Chicago Bulls,28,54,0.341,0,0,2018-12-15
E,SE,Charlotte Hornets,42,40,0.512,84,0,2018-12-15
E,SE,Orlando Magic,39,43,0.476,48,0,2018-12-15
E,SE,Miami Heat,38,44,0.463,45,0,2018-12-15
E,SE,Washington Wizards,36,46,0.439,19,0,2018-12-15
E,SE,Atlanta Hawks,29,53,0.354,0,0,2018-12-15
W,NW,Denver Nuggets,49,33,0.598,96,36,2018-12-15
W,NW,Oklahoma City Thunder,47,35,0.573,89,17,2018-12-15
W,NW,Portland Trail Blazers,43,39,0.524,56,2,2018-12-15
W,NW,Utah Jazz,41,41,0.5,38,0,2018-12-15
W,NW,Minnesota Timberwolves,40,42,0.488,22,0,2018-12-15
W,PA,Golden State Warriors,48,34,0.585,93,24,2018-12-15
W,PA,Los Angeles Clippers,44,38,0.537,70,4,2018-12-15
W,PA,Los Angeles Lakers,44,38,0.537,70,5,2018-12-15
W,PA,Sacramento Kings,42,40,0.512,43,1,2018-12-15
W,PA,Phoenix Suns,27,55,0.329,0,0,2018-12-15
W,SW,Dallas Mavericks,43,39,0.524,54,2,2018-12-15
W,SW,Memphis Grizzlies,43,39,0.524,59,2,2018-12-15
W,SW,New Orleans Pelicans,42,40,0.512,44,0,2018-12-15
W,SW,San Antonio Spurs,41,41,0.5,34,0,2018-12-15
W,SW,Houston Rockets,40,42,0.488,26,0,2018-12-15
