Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,49,33,0.598,98,15
E,AT,Boston Celtics,46,36,0.561,94,7
E,AT,Philadelphia 76ers,43,39,0.524,77,1
E,AT,Brooklyn Nets,37,45,0.451,24,0
E,AT,New York Knicks,37,45,0.451,24,0
E,CE,Milwaukee Bucks,53,29,0.646,99,63
E,CE,Indiana Pacers,47,35,0.573,94,7
E,CE,Detroit Pistons,41,41,0.5,66,0
E,CE,Chicago Bulls,34,48,0.415,9,0
E,CE,Cleveland Cavaliers,30,52,0.366,1,0
E,SE,Charlotte Hornets,45,37,0.549,89,2
E,SE,Miami Heat,44,38,0.537,83,2
E,SE,Atlanta Hawks,36,46,0.439,18,0
E,SE,Orlando Magic,34,48,0.415,8,0
E,SE,Washington Wizards,34,48,0.415,8,0
W,NW,Denver Nuggets,49,33,0.598,96,18
W,NW,Utah Jazz,47,35,0.573,92,9
W,NW,Portland Trail Blazers,46,36,0.561,88,6
W,NW,Minnesota Timberwolves,38,44,0.463,25,0
W,NW,Oklahoma City Thunder,35,47,0.427,7,0
W,PA,Golden State Warriors,52,30,0.634,99,44
W,PA,Los Angeles Clippers,48,34,0.585,94,13
W,PA,Sacramento Kings,41,41,0.5,48,0
W,PA,Los Angeles Lakers,39,43,0.476,35,0
W,PA,Phoenix Suns,31,51,0.378,1,0
W,SW,New Orleans Pelicans,45,37,0.549,83,3
W,SW,Memphis Grizzlies,43,39,0.524,71,2
W,SW,San Antonio Spurs,40,42,0.488,39,0
W,SW,Dallas Mavericks,35,47,0.427,10,0
W,SW,Houston Rockets,34,48,0.415,4,0
