Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,52,30,0.634,99,57,2018-12-04
E,AT,Philadelphia 76ers,47,35,0.573,97,6,2018-12-04
E,AT,Boston Celtics,45,37,0.549,94,3,2018-12-04
E,AT,Brooklyn Nets,35,47,0.427,14,0,2018-12-04
E,AT,New York Knicks,34,48,0.415,8,0,2018-12-04
E,CE,Milwaukee Bucks,50,32,0.61,99,26,2018-12-04
E,CE,Indiana Pacers,45,37,0.549,92,2,2018-12-04
E,CE,Detroit Pistons,44,38,0.537,89,1,2018-12-04
E,CE,Cleveland Cavaliers,30,52,0.366,1,0,2018-12-04
E,CE,Chicago Bulls,30,52,0.366,0,0,2018-12-04
E,SE,Charlotte Hornets,42,40,0.512,82,0,2018-12-04
E,SE,Orlando Magic,39,43,0.476,54,0,2018-12-04
E,SE,Miami Heat,38,44,0.463,37,0,2018-12-04
E,SE,Washington Wizards,37,45,0.451,27,0,2018-12-04
E,SE,Atlanta Hawks,29,53,0.354,0,0,2018-12-04
W,NW,Denver Nuggets,49,33,0.598,97,33,2018-12-04
W,NW,Oklahoma City Thunder,48,34,0.585,95,23,2018-12-04
W,NW,Portland Trail Blazers,43,39,0.524,60,1,2018-12-04
W,NW,Minnesota Timberwolves,40,42,0.488,34,0,2018-12-04
W,NW,Utah Jazz,39,43,0.476,22,0,2018-12-04
W,PA,Los Angeles Clippers,48,34,0.585,93,19,2018-12-04
W,PA,Golden State Warriors,47,35,0.573,88,11,2018-12-04
W,PA,Los Angeles Lakers,44,38,0.537,69,3,2018-12-04
W,PA,Sacramento Kings,40,42,0.488,27,0,2018-12-04
W,PA,Phoenix Suns,28,54,0.341,0,0,2018-12-04
W,SW,Memphis Grizzlies,44,38,0.537,66,2,2018-12-04
W,SW,Dallas Mavericks,42,40,0.512,51,1,2018-12-04
W,SW,New Orleans Pelicans,41,41,0.5,41,0,2018-12-04
W,SW,Houston Rockets,40,42,0.488,31,0,2018-12-04
W,SW,San Antonio Spurs,39,43,0.476,19,0,2018-12-04
