Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,51,31,0.622,99,27
E,AT,Boston Celtics,46,36,0.561,93,5
E,AT,Philadelphia 76ers,40,42,0.488,50,0
E,AT,Brooklyn Nets,39,43,0.476,39,0
E,AT,New York Knicks,34,48,0.415,8,0
E,CE,Milwaukee Bucks,53,29,0.646,99,47
E,CE,Indiana Pacers,49,33,0.598,97,12
E,CE,Detroit Pistons,41,41,0.5,64,0
E,CE,Chicago Bulls,35,47,0.427,15,0
E,CE,Cleveland Cavaliers,30,52,0.366,1,0
E,SE,Miami Heat,46,36,0.561,91,4
E,SE,Charlotte Hornets,45,37,0.549,88,2
E,SE,Atlanta Hawks,38,44,0.463,34,0
E,SE,Orlando Magic,33,49,0.402,6,0
E,SE,Washington Wizards,33,49,0.402,7,0
W,NW,Denver Nuggets,49,33,0.598,97,21
W,NW,Utah Jazz,47,35,0.573,93,10
W,NW,Portland Trail Blazers,45,37,0.549,84,4
W,NW,Minnesota Timberwolves,37,45,0.451,19,0
W,NW,Oklahoma City Thunder,35,47,0.427,8,0
W,PA,Golden State Warriors,51,31,0.622,99,37
W,PA,Los Angeles Clippers,48,34,0.585,95,15
W,PA,Los Angeles Lakers,40,42,0.488,47,0
W,PA,Sacramento Kings,39,43,0.476,34,0
W,PA,Phoenix Suns,32,50,0.39,2,0
W,SW,New Orleans Pelicans,46,36,0.561,90,7
W,SW,Memphis Grizzlies,43,39,0.524,75,1
W,SW,San Antonio Spurs,38,44,0.463,29,0
W,SW,Dallas Mavericks,36,46,0.439,13,0
W,SW,Houston Rockets,34,48,0.415,6,0
