Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,52,30,0.634,99,34,2019-01-03
E,AT,Boston Celtics,47,35,0.573,98,3,2019-01-03
E,AT,Philadelphia 76ers,47,35,0.573,99,3,2019-01-03
E,AT,Brooklyn Nets,39,43,0.476,49,0,2019-01-03
E,AT,New York Knicks,28,54,0.341,0,0,2019-01-03
E,CE,Milwaukee Bucks,52,30,0.634,100,42,2019-01-03
E,CE,Indiana Pacers,50,32,0.61,99,15,2019-01-03
E,CE,Detroit Pistons,39,43,0.476,50,0,2019-01-03
E,CE,Chicago Bulls,29,53,0.354,0,0,2019-01-03
E,CE,Cleveland Cavaliers,26,56,0.317,0,0,2019-01-03
E,SE,Charlotte Hornets,41,41,0.5,72,0,2019-01-03
E,SE,Miami Heat,41,41,0.5,77,0,2019-01-03
E,SE,Orlando Magic,38,44,0.463,37,0,2019-01-03
E,SE,Washington Wizards,35,47,0.427,13,0,2019-01-03
E,SE,Atlanta Hawks,30,52,0.366,0,0,2019-01-03
W,NW,Denver Nuggets,50,32,0.61,97,36,2019-01-03
W,NW,Oklahoma City Thunder,49,33,0.598,96,26,2019-01-03
W,NW,Portland Trail Blazers,44,38,0.537,72,2,2019-01-03
W,NW,Utah Jazz,41,41,0.5,39,0,2019-01-03
W,NW,Minnesota Timberwolves,39,43,0.476,13,0,2019-01-03
W,PA,Golden State Warriors,48,34,0.585,96,23,2019-01-03
W,PA,Los Angeles Clippers,44,38,0.537,69,2,2019-01-03
W,PA,Los Angeles Lakers,43,39,0.524,64,1,2019-01-03
W,PA,Sacramento Kings,41,41,0.5,35,0,2019-01-03
W,PA,Phoenix Suns,27,55,0.329,0,0,2019-01-03
W,SW,Houston Rockets,44,38,0.537,75,3,2019-01-03
W,SW,San Antonio Spurs,44,38,0.537,67,2,2019-01-03
W,SW,Dallas Mavericks,41,41,0.5,31,0,2019-01-03
W,SW,Memphis Grizzlies,40,42,0.488,24,0,2019-01-03
W,SW,New Orleans Pelicans,39,43,0.476,14,0,2019-01-03
