Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,56,26,0.683,100,14,2019-03-04
E,AT,Philadelphia 76ers,50,32,0.61,100,0,2019-03-04
E,AT,Boston Celtics,48,34,0.585,99,0,2019-03-04
E,AT,Brooklyn Nets,40,42,0.488,77,0,2019-03-04
E,AT,New York Knicks,21,61,0.256,0,0,2019-03-04
E,CE,Milwaukee Bucks,59,23,0.72,100,85,2019-03-04
E,CE,Indiana Pacers,51,31,0.622,100,0,2019-03-04
E,CE,Detroit Pistons,41,41,0.5,86,0,2019-03-04
E,CE,Chicago Bulls,26,56,0.317,0,0,2019-03-04
E,CE,Cleveland Cavaliers,23,59,0.28,0,0,2019-03-04
E,SE,Charlotte Hornets,38,44,0.463,42,0,2019-03-04
E,SE,Miami Heat,38,44,0.463,36,0,2019-03-04
E,SE,Orlando Magic,38,44,0.463,48,0,2019-03-04
E,SE,Washington Wizards,35,47,0.427,7,0,2019-03-04
E,SE,Atlanta Hawks,30,52,0.366,0,0,2019-03-04
W,NW,Denver Nuggets,52,30,0.634,99,24,2019-03-04
W,NW,Portland Trail Blazers,49,33,0.598,99,1,2019-03-04
W,NW,Oklahoma City Thunder,49,33,0.598,99,1,2019-03-04
W,NW,Utah Jazz,47,35,0.573,98,0,2019-03-04
W,NW,Minnesota Timberwolves,38,44,0.463,2,0,2019-03-04
W,PA,Golden State Warriors,55,27,0.671,100,71,2019-03-04
W,PA,Los Angeles Clippers,45,37,0.549,89,0,2019-03-04
W,PA,Sacramento Kings,41,41,0.5,19,0,2019-03-04
W,PA,Los Angeles Lakers,39,43,0.476,5,0,2019-03-04
W,PA,Phoenix Suns,21,61,0.256,0,0,2019-03-04
W,SW,Houston Rockets,48,34,0.585,99,0,2019-03-04
W,SW,San Antonio Spurs,44,38,0.537,84,0,2019-03-04
W,SW,New Orleans Pelicans,38,44,0.463,1,0,2019-03-04
W,SW,Dallas Mavericks,37,45,0.451,0,0,2019-03-04
W,SW,Memphis Grizzlies,33,49,0.402,0,0,2019-03-04
